ORF	gene_systematic_id_with_prefix	gene_name	chromosome_id	gene_product	uniprot_id	gene_type	synonyms	length.CDS	length.UTR5	length.UTR3	length.UTR5.Est	length.UTR3.Est	LengthTxEst
SPNCRNA.3977	PomBase:SPNCRNA.3977	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	294	NA	NA	0	0	294
SPNCRNA.3978	PomBase:SPNCRNA.3978	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1211	NA	NA	0	0	1211
SPNCRNA.3979	PomBase:SPNCRNA.3979	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	321	NA	NA	0	0	321
SPNCRNA.398	PomBase:SPNCRNA.398	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1655	305	NA	NA	0	0	305
SPNCRNA.3980	PomBase:SPNCRNA.3980	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1295	NA	NA	0	0	1295
SPNCRNA.3981	PomBase:SPNCRNA.3981	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	805	NA	NA	0	0	805
SPNCRNA.3982	PomBase:SPNCRNA.3982	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1732	NA	NA	0	0	1732
SPNCRNA.3983	PomBase:SPNCRNA.3983	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2285	NA	NA	0	0	2285
SPNCRNA.3984	PomBase:SPNCRNA.3984	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2165	NA	NA	0	0	2165
SPNCRNA.3985	PomBase:SPNCRNA.3985	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1940	NA	NA	0	0	1940
SPNCRNA.3986	PomBase:SPNCRNA.3986	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1009	NA	NA	0	0	1009
SPNCRNA.3987	PomBase:SPNCRNA.3987	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	659	NA	NA	0	0	659
SPNCRNA.3988	PomBase:SPNCRNA.3988	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	917	NA	NA	0	0	917
SPNCRNA.3989	PomBase:SPNCRNA.3989	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	325	NA	NA	0	0	325
SPNCRNA.399	PomBase:SPNCRNA.399	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1662	1261	NA	NA	0	0	1261
SPNCRNA.3990	PomBase:SPNCRNA.3990	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	317	NA	NA	0	0	317
SPNCRNA.3991	PomBase:SPNCRNA.3991	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1320	NA	NA	0	0	1320
SPNCRNA.3992	PomBase:SPNCRNA.3992	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	916	NA	NA	0	0	916
SPNCRNA.3993	PomBase:SPNCRNA.3993	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1139	NA	NA	0	0	1139
SPNCRNA.3994	PomBase:SPNCRNA.3994	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1658	NA	NA	0	0	1658
SPNCRNA.3995	PomBase:SPNCRNA.3995	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	760	NA	NA	0	0	760
SPNCRNA.3996	PomBase:SPNCRNA.3996	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2650	NA	NA	0	0	2650
SPNCRNA.3997	PomBase:SPNCRNA.3997	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	239	NA	NA	0	0	239
SPNCRNA.3998	PomBase:SPNCRNA.3998	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	798	NA	NA	0	0	798
SPNCRNA.3999	PomBase:SPNCRNA.3999	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	721	NA	NA	0	0	721
SPNCRNA.40	PomBase:SPNCRNA.40	prl40	chromosome_3	small non-coding RNA, poly(A)-bearing, quiescence specific	NA	sncRNA gene	NA	191	NA	NA	0	0	191
SPNCRNA.400	PomBase:SPNCRNA.400	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1663	759	NA	NA	0	0	759
SPNCRNA.4000	PomBase:SPNCRNA.4000	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	259	NA	NA	0	0	259
SPNCRNA.4001	PomBase:SPNCRNA.4001	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	230	NA	NA	0	0	230
SPNCRNA.4002	PomBase:SPNCRNA.4002	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	233	NA	NA	0	0	233
SPNCRNA.4003	PomBase:SPNCRNA.4003	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	211	NA	NA	0	0	211
SPNCRNA.4004	PomBase:SPNCRNA.4004	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1139	NA	NA	0	0	1139
SPNCRNA.4005	PomBase:SPNCRNA.4005	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	296	NA	NA	0	0	296
SPNCRNA.4006	PomBase:SPNCRNA.4006	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	207	NA	NA	0	0	207
SPNCRNA.4007	PomBase:SPNCRNA.4007	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	474	NA	NA	0	0	474
SPNCRNA.4008	PomBase:SPNCRNA.4008	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1364	NA	NA	0	0	1364
SPNCRNA.4009	PomBase:SPNCRNA.4009	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1286	NA	NA	0	0	1286
SPNCRNA.401	PomBase:SPNCRNA.401	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1677	811	NA	NA	0	0	811
SPNCRNA.4010	PomBase:SPNCRNA.4010	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1026	NA	NA	0	0	1026
SPNCRNA.4011	PomBase:SPNCRNA.4011	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1156	NA	NA	0	0	1156
SPNCRNA.4012	PomBase:SPNCRNA.4012	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	475	NA	NA	0	0	475
SPNCRNA.4013	PomBase:SPNCRNA.4013	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	220	NA	NA	0	0	220
SPNCRNA.4014	PomBase:SPNCRNA.4014	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	632	NA	NA	0	0	632
SPNCRNA.4015	PomBase:SPNCRNA.4015	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	390	NA	NA	0	0	390
SPNCRNA.4016	PomBase:SPNCRNA.4016	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	371	NA	NA	0	0	371
SPNCRNA.4017	PomBase:SPNCRNA.4017	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	539	NA	NA	0	0	539
SPNCRNA.4018	PomBase:SPNCRNA.4018	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1432	NA	NA	0	0	1432
SPNCRNA.4019	PomBase:SPNCRNA.4019	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	368	NA	NA	0	0	368
SPNCRNA.402	PomBase:SPNCRNA.402	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1678,SPNCRNA.1531	1282	NA	NA	0	0	1282
SPNCRNA.4020	PomBase:SPNCRNA.4020	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	536	NA	NA	0	0	536
SPNCRNA.4021	PomBase:SPNCRNA.4021	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	269	NA	NA	0	0	269
SPNCRNA.4022	PomBase:SPNCRNA.4022	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	221	NA	NA	0	0	221
SPNCRNA.4023	PomBase:SPNCRNA.4023	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	240	NA	NA	0	0	240
SPNCRNA.4024	PomBase:SPNCRNA.4024	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	855	NA	NA	0	0	855
SPNCRNA.4025	PomBase:SPNCRNA.4025	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	580	NA	NA	0	0	580
SPNCRNA.4026	PomBase:SPNCRNA.4026	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	567	NA	NA	0	0	567
SPNCRNA.4027	PomBase:SPNCRNA.4027	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	764	NA	NA	0	0	764
SPNCRNA.4028	PomBase:SPNCRNA.4028	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2317	NA	NA	0	0	2317
SPNCRNA.4029	PomBase:SPNCRNA.4029	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	237	NA	NA	0	0	237
SPNCRNA.403	PomBase:SPNCRNA.403	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1684	912	NA	NA	0	0	912
SPNCRNA.4030	PomBase:SPNCRNA.4030	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	316	NA	NA	0	0	316
SPNCRNA.4031	PomBase:SPNCRNA.4031	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	895	NA	NA	0	0	895
SPNCRNA.4032	PomBase:SPNCRNA.4032	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	538	NA	NA	0	0	538
SPNCRNA.4033	PomBase:SPNCRNA.4033	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	546	NA	NA	0	0	546
SPNCRNA.4034	PomBase:SPNCRNA.4034	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	506	NA	NA	0	0	506
SPNCRNA.4035	PomBase:SPNCRNA.4035	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	260	NA	NA	0	0	260
SPNCRNA.4036	PomBase:SPNCRNA.4036	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	312	NA	NA	0	0	312
SPNCRNA.4037	PomBase:SPNCRNA.4037	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1157	NA	NA	0	0	1157
SPNCRNA.4038	PomBase:SPNCRNA.4038	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2686	NA	NA	0	0	2686
SPNCRNA.4039	PomBase:SPNCRNA.4039	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	275	NA	NA	0	0	275
SPNCRNA.4040	PomBase:SPNCRNA.4040	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1248	NA	NA	0	0	1248
SPNCRNA.4041	PomBase:SPNCRNA.4041	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	425	NA	NA	0	0	425
SPNCRNA.4042	PomBase:SPNCRNA.4042	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	319	NA	NA	0	0	319
SPNCRNA.4043	PomBase:SPNCRNA.4043	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1637	NA	NA	0	0	1637
SPNCRNA.4044	PomBase:SPNCRNA.4044	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1361	NA	NA	0	0	1361
SPNCRNA.4045	PomBase:SPNCRNA.4045	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	592	NA	NA	0	0	592
SPNCRNA.4046	PomBase:SPNCRNA.4046	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	891	NA	NA	0	0	891
SPNCRNA.4047	PomBase:SPNCRNA.4047	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	297	NA	NA	0	0	297
SPNCRNA.4048	PomBase:SPNCRNA.4048	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	847	NA	NA	0	0	847
SPNCRNA.4049	PomBase:SPNCRNA.4049	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	637	NA	NA	0	0	637
SPNCRNA.405	PomBase:SPNCRNA.405	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1698	609	NA	NA	0	0	609
SPNCRNA.4050	PomBase:SPNCRNA.4050	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	751	NA	NA	0	0	751
SPNCRNA.4051	PomBase:SPNCRNA.4051	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	998	NA	NA	0	0	998
SPNCRNA.4052	PomBase:SPNCRNA.4052	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	5232	NA	NA	0	0	5232
SPNCRNA.4053	PomBase:SPNCRNA.4053	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1415	NA	NA	0	0	1415
SPNCRNA.4054	PomBase:SPNCRNA.4054	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	444	NA	NA	0	0	444
SPNCRNA.4055	PomBase:SPNCRNA.4055	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1135	NA	NA	0	0	1135
SPNCRNA.4056	PomBase:SPNCRNA.4056	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1898	NA	NA	0	0	1898
SPNCRNA.4057	PomBase:SPNCRNA.4057	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	4070	NA	NA	0	0	4070
SPNCRNA.4058	PomBase:SPNCRNA.4058	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	573	NA	NA	0	0	573
SPNCRNA.4059	PomBase:SPNCRNA.4059	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	357	NA	NA	0	0	357
SPNCRNA.406	PomBase:SPNCRNA.406	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1702	652	NA	NA	0	0	652
SPNCRNA.4060	PomBase:SPNCRNA.4060	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2206	NA	NA	0	0	2206
SPNCRNA.4061	PomBase:SPNCRNA.4061	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	340	NA	NA	0	0	340
SPNCRNA.4062	PomBase:SPNCRNA.4062	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1537	NA	NA	0	0	1537
SPNCRNA.4063	PomBase:SPNCRNA.4063	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	525	NA	NA	0	0	525
SPNCRNA.4064	PomBase:SPNCRNA.4064	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1438	NA	NA	0	0	1438
SPNCRNA.4065	PomBase:SPNCRNA.4065	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	202	NA	NA	0	0	202
SPNCRNA.4066	PomBase:SPNCRNA.4066	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	527	NA	NA	0	0	527
SPNCRNA.4067	PomBase:SPNCRNA.4067	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	786	NA	NA	0	0	786
SPNCRNA.4068	PomBase:SPNCRNA.4068	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	539	NA	NA	0	0	539
SPNCRNA.4069	PomBase:SPNCRNA.4069	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	384	NA	NA	0	0	384
SPNCRNA.4070	PomBase:SPNCRNA.4070	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	330	NA	NA	0	0	330
SPNCRNA.4071	PomBase:SPNCRNA.4071	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	225	NA	NA	0	0	225
SPNCRNA.4072	PomBase:SPNCRNA.4072	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	323	NA	NA	0	0	323
SPNCRNA.4073	PomBase:SPNCRNA.4073	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	322	NA	NA	0	0	322
SPNCRNA.4074	PomBase:SPNCRNA.4074	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	879	NA	NA	0	0	879
SPNCRNA.4075	PomBase:SPNCRNA.4075	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	464	NA	NA	0	0	464
SPNCRNA.4076	PomBase:SPNCRNA.4076	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1000	NA	NA	0	0	1000
SPNCRNA.4077	PomBase:SPNCRNA.4077	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1197	NA	NA	0	0	1197
SPNCRNA.4078	PomBase:SPNCRNA.4078	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	266	NA	NA	0	0	266
SPNCRNA.4079	PomBase:SPNCRNA.4079	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1225	NA	NA	0	0	1225
SPNCRNA.408	PomBase:SPNCRNA.408	NA	chromosome_2	small non-coding RNA, non-coding RNA (predicted)	NA	sncRNA gene	SPNG1715	78	NA	NA	0	0	78
SPNCRNA.4080	PomBase:SPNCRNA.4080	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	638	NA	NA	0	0	638
SPNCRNA.4081	PomBase:SPNCRNA.4081	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2579	NA	NA	0	0	2579
SPNCRNA.4082	PomBase:SPNCRNA.4082	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	825	NA	NA	0	0	825
SPNCRNA.4083	PomBase:SPNCRNA.4083	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	757	NA	NA	0	0	757
SPNCRNA.4084	PomBase:SPNCRNA.4084	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	542	NA	NA	0	0	542
SPNCRNA.4085	PomBase:SPNCRNA.4085	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	285	NA	NA	0	0	285
SPNCRNA.4086	PomBase:SPNCRNA.4086	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	418	NA	NA	0	0	418
SPNCRNA.4087	PomBase:SPNCRNA.4087	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	773	NA	NA	0	0	773
SPNCRNA.4088	PomBase:SPNCRNA.4088	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1099	NA	NA	0	0	1099
SPNCRNA.4089	PomBase:SPNCRNA.4089	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1163	NA	NA	0	0	1163
SPNCRNA.4090	PomBase:SPNCRNA.4090	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	241	NA	NA	0	0	241
SPNCRNA.4091	PomBase:SPNCRNA.4091	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	848	NA	NA	0	0	848
SPNCRNA.4092	PomBase:SPNCRNA.4092	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1581	NA	NA	0	0	1581
SPNCRNA.4093	PomBase:SPNCRNA.4093	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	691	NA	NA	0	0	691
SPNCRNA.4094	PomBase:SPNCRNA.4094	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	318	NA	NA	0	0	318
SPNCRNA.4095	PomBase:SPNCRNA.4095	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	305	NA	NA	0	0	305
SPNCRNA.4096	PomBase:SPNCRNA.4096	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2565	NA	NA	0	0	2565
SPNCRNA.4097	PomBase:SPNCRNA.4097	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1033	NA	NA	0	0	1033
SPNCRNA.4098	PomBase:SPNCRNA.4098	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	270	NA	NA	0	0	270
SPNCRNA.4099	PomBase:SPNCRNA.4099	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	490	NA	NA	0	0	490
SPNCRNA.4100	PomBase:SPNCRNA.4100	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1267	NA	NA	0	0	1267
SPNCRNA.4101	PomBase:SPNCRNA.4101	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	302	NA	NA	0	0	302
SPNCRNA.4102	PomBase:SPNCRNA.4102	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1972	NA	NA	0	0	1972
SPNCRNA.4103	PomBase:SPNCRNA.4103	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	202	NA	NA	0	0	202
SPNCRNA.4104	PomBase:SPNCRNA.4104	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	397	NA	NA	0	0	397
SPNCRNA.4105	PomBase:SPNCRNA.4105	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	208	NA	NA	0	0	208
SPNCRNA.4106	PomBase:SPNCRNA.4106	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	245	NA	NA	0	0	245
SPNCRNA.4107	PomBase:SPNCRNA.4107	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	376	NA	NA	0	0	376
SPNCRNA.4108	PomBase:SPNCRNA.4108	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	371	NA	NA	0	0	371
SPNCRNA.4109	PomBase:SPNCRNA.4109	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1640	NA	NA	0	0	1640
SPNCRNA.4110	PomBase:SPNCRNA.4110	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	469	NA	NA	0	0	469
SPNCRNA.4111	PomBase:SPNCRNA.4111	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	845	NA	NA	0	0	845
SPNCRNA.4112	PomBase:SPNCRNA.4112	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	313	NA	NA	0	0	313
SPNCRNA.4113	PomBase:SPNCRNA.4113	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	926	NA	NA	0	0	926
SPNCRNA.4114	PomBase:SPNCRNA.4114	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1250	NA	NA	0	0	1250
SPNCRNA.4115	PomBase:SPNCRNA.4115	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	442	NA	NA	0	0	442
SPNCRNA.4116	PomBase:SPNCRNA.4116	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2146	NA	NA	0	0	2146
SPNCRNA.4117	PomBase:SPNCRNA.4117	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	297	NA	NA	0	0	297
SPNCRNA.4118	PomBase:SPNCRNA.4118	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	599	NA	NA	0	0	599
SPNCRNA.4119	PomBase:SPNCRNA.4119	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1120	NA	NA	0	0	1120
SPNCRNA.412	PomBase:SPNCRNA.412	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1772	729	NA	NA	0	0	729
SPNCRNA.4120	PomBase:SPNCRNA.4120	NA	chromosome_1	non-coding RNA, LTR associated	NA	lncRNA gene	NA	601	NA	NA	0	0	601
SPNCRNA.4121	PomBase:SPNCRNA.4121	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	596	NA	NA	0	0	596
SPNCRNA.4122	PomBase:SPNCRNA.4122	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	309	NA	NA	0	0	309
SPNCRNA.4123	PomBase:SPNCRNA.4123	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	556	NA	NA	0	0	556
SPNCRNA.4124	PomBase:SPNCRNA.4124	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1129	NA	NA	0	0	1129
SPNCRNA.4125	PomBase:SPNCRNA.4125	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1886	NA	NA	0	0	1886
SPNCRNA.4126	PomBase:SPNCRNA.4126	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2192	NA	NA	0	0	2192
SPNCRNA.4127	PomBase:SPNCRNA.4127	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	270	NA	NA	0	0	270
SPNCRNA.4128	PomBase:SPNCRNA.4128	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	362	NA	NA	0	0	362
SPNCRNA.4129	PomBase:SPNCRNA.4129	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	395	NA	NA	0	0	395
SPNCRNA.413	PomBase:SPNCRNA.413	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1778	401	NA	NA	0	0	401
SPNCRNA.4130	PomBase:SPNCRNA.4130	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	376	NA	NA	0	0	376
SPNCRNA.4131	PomBase:SPNCRNA.4131	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1372	NA	NA	0	0	1372
SPNCRNA.4132	PomBase:SPNCRNA.4132	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1658	NA	NA	0	0	1658
SPNCRNA.4133	PomBase:SPNCRNA.4133	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	840	NA	NA	0	0	840
SPNCRNA.4134	PomBase:SPNCRNA.4134	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	978	NA	NA	0	0	978
SPNCRNA.4135	PomBase:SPNCRNA.4135	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1051	NA	NA	0	0	1051
SPNCRNA.4136	PomBase:SPNCRNA.4136	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	273	NA	NA	0	0	273
SPNCRNA.4137	PomBase:SPNCRNA.4137	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	523	NA	NA	0	0	523
SPNCRNA.4138	PomBase:SPNCRNA.4138	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	950	NA	NA	0	0	950
SPNCRNA.4139	PomBase:SPNCRNA.4139	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2646	NA	NA	0	0	2646
SPNCRNA.414	PomBase:SPNCRNA.414	NA	chromosome_2	small non-coding RNA, meiosis specific	NA	sncRNA gene	SPNG1779	122	NA	NA	0	0	122
SPNCRNA.4140	PomBase:SPNCRNA.4140	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	1927	NA	NA	0	0	1927
SPNCRNA.4141	PomBase:SPNCRNA.4141	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	211	NA	NA	0	0	211
SPNCRNA.4142	PomBase:SPNCRNA.4142	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	238	NA	NA	0	0	238
SPNCRNA.4143	PomBase:SPNCRNA.4143	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	249	NA	NA	0	0	249
SPNCRNA.4144	PomBase:SPNCRNA.4144	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	521	NA	NA	0	0	521
SPNCRNA.4145	PomBase:SPNCRNA.4145	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	766	NA	NA	0	0	766
SPNCRNA.4146	PomBase:SPNCRNA.4146	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	450	NA	NA	0	0	450
SPNCRNA.4147	PomBase:SPNCRNA.4147	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	348	NA	NA	0	0	348
SPNCRNA.4148	PomBase:SPNCRNA.4148	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	256	NA	NA	0	0	256
SPNCRNA.4149	PomBase:SPNCRNA.4149	NA	chromosome_1	non-coding RNA	NA	lncRNA gene	NA	2124	NA	NA	0	0	2124
SPNCRNA.415	PomBase:SPNCRNA.415	NA	chromosome_2	non-coding RNA	NA	lncRNA gene	SPNG1780	605	NA	NA	0	0	605
